staging_url,intended_production_url,object_type,object_id,title,slug,canonical,indexable_after_launch,sitemap_expected,notes
https://staging2.braveheartspublishing.com/blog/mariana-trench-facts-for-kids/,https://www.braveheartspublishing.com/blog/mariana-trench-facts-for-kids/,post,74,Mariana Trench Facts for Kids — The Deepest Place on Earth,mariana-trench-facts-for-kids,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/what-are-bridge-books-guide-for-parents-and-teachers/,https://www.braveheartspublishing.com/blog/what-are-bridge-books-guide-for-parents-and-teachers/,post,90,My Kid Hates Long Books. Bridge Books Fixed That.,what-are-bridge-books-guide-for-parents-and-teachers,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/bridge-books-for-early-readers/,https://www.braveheartspublishing.com/blog/bridge-books-for-early-readers/,post,48,How to Help Your Child Transition from Picture Books to Chapter Books,bridge-books-for-early-readers,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/bridge-books-for-kids-mount-everest/,https://www.braveheartspublishing.com/blog/bridge-books-for-kids-mount-everest/,post,52,What Comes After Picture Books? Discover Bridge Books for Growing Readers,bridge-books-for-kids-mount-everest,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/best-early-chapter-books-for-6-year-olds/,https://www.braveheartspublishing.com/blog/best-early-chapter-books-for-6-year-olds/,post,32,Best Early Chapter Books for 6 Year Olds,best-early-chapter-books-for-6-year-olds,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/free-teachers-guide-mariana-trench/,https://www.braveheartspublishing.com/blog/free-teachers-guide-mariana-trench/,post,62,Free Teacher’s Guide Is Here — And It’s Ready for Your Classroom,free-teachers-guide-mariana-trench,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/first-real-chapter-book-for-kids/,https://www.braveheartspublishing.com/blog/first-real-chapter-book-for-kids/,post,60,The First Real Chapter Book: Helping Kids Transition From Early Readers,first-real-chapter-book-for-kids,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/best-bridge-books-for-kids/,https://www.braveheartspublishing.com/blog/best-bridge-books-for-kids/,post,30,Bridge Books: The Perfect Next Step After Frog and Toad,best-bridge-books-for-kids,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/how-deep-is-the-mariana-trench-for-kids/,https://www.braveheartspublishing.com/blog/how-deep-is-the-mariana-trench-for-kids/,post,66,How Deep Is the Mariana Trench? (Explained for Kids),how-deep-is-the-mariana-trench-for-kids,,no,yes,Published REST object
https://staging2.braveheartspublishing.com/blog/adventure-books-for-kids-ages-6-9/,https://www.braveheartspublishing.com/blog/adventure-books-for-kids-ages-6-9/,post,26,Why Adventure Books for Kids (Ages 6–9) Build Confidence and Curiosity,adventure-books-for-kids-ages-6-9,,no,yes,Published REST object
