Old Hub URL,Old Purpose,New URL,Relevance,Redirect Approved,Notes
https://www.braveheartspublishing.com/blog,"Bridge Books, Reading Tips & Kids Adventure Books | Brave Hearts Publishing Blog — Brave Hearts Publishing",https://www.braveheartspublishing.com/blog/,direct equivalent,not required—unchanged,No system/archive URLs included
https://www.braveheartspublishing.com/teachers,Free Teacher's Guide | Adventures of Charlotte and Henry: The Mariana Trench — Brave Hearts Publishing,https://www.braveheartspublishing.com/teachers/,direct equivalent,not required—unchanged,No system/archive URLs included
https://www.braveheartspublishing.com/bridge-books,Bridge Books for Kids Ages 6–9 | The Parent's Complete Guide — Brave Hearts Publishing,https://www.braveheartspublishing.com/bridge-books/,direct equivalent,not required—unchanged,No system/archive URLs included
https://www.braveheartspublishing.com/reading-levels,Reading Levels & Lexile Scores — A Parent's Plain-English Guide — Brave Hearts Publishing,https://www.braveheartspublishing.com/reading-levels/,direct equivalent,not required—unchanged,No system/archive URLs included
https://www.braveheartspublishing.com/mariana-trench,"Mariana Trench & Ocean Science for Kids — Facts, Books & Adventures — Brave Hearts Publishing",https://www.braveheartspublishing.com/mariana-trench/,direct equivalent,not required—unchanged,No system/archive URLs included
https://www.braveheartspublishing.com/reluctant-readers,My Child Hates Reading — What Actually Works | Brave Hearts Publishing — Brave Hearts Publishing,https://www.braveheartspublishing.com/reluctant-readers/,direct equivalent,not required—unchanged,No system/archive URLs included
https://www.braveheartspublishing.com/read-alouds,Best Read-Aloud Books for Grades 1–3 | Brave Hearts Publishing — Brave Hearts Publishing,https://www.braveheartspublishing.com/read-alouds/,direct equivalent,not required—unchanged,No system/archive URLs included
https://www.braveheartspublishing.com/store,Store 2 — Brave Hearts Publishing,https://www.braveheartspublishing.com/shop/,direct commerce equivalent,yes,No system/archive URLs included
